"","lake","date","day","atmp_C","RH_pct","irr_factor","ltmp_bot_C","ltmp_surf_C","area_m2","vol_m3","dV_m3","P_mm","E_mm","I_mm","P_m3","E_m3","I_m3","C_lake","dC_lake","C_pcpn","C_GWin","C_evap","C_ice","res_time","GWin_m3","C_lake_meas","C_lake_calc","P_lake","P_sed","ks","ks_tmp","kr","kr_tmp","dep","fd","sed","rel","TP_in"
"42","Pleasant",2018-08-09,221,24.9,74.05,0.802571066246747,19.8835833333333,25.581625,547415.592081256,2670717.75247873,-2794.45912990486,0,1.3780056299793,0,0,754.341767826421,0,0.0110328571428571,0.000112857142857144,0,0.0391172427234927,0,0,376,7102.97274595407,NA,0.0113470072436424,0.0553595003896093,3.06465694547868,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000884477568219931,0.00142818998850834,0.000392729933758599
"43","Pleasant",2018-08-10,222,25.1,69.05,0.796565472236087,19.9837083333333,26.1532916666667,547261.375344249,2668964.366358,-1753.38612073101,0,-0.359591664600828,0,0,-196.790628931777,0,0.0111457142857143,0.000112857142857144,0,0.0391172427234927,0,0,376,7098.30948499468,NA,0.0114326603051923,0.0557564709331803,3.06411373123675,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000892658106922657,0.00143975680740296,0.000371869807058165
"44","Pleasant",2018-08-11,223,22.9,75.35,0.790480222342005,20.03525,26.546875,547097.520061178,2667101.39360472,-1862.97275328031,0,1.15184707589821,0,0,630.172678713628,0,0.0112585714285714,0.000112857142857142,0,0.0391172427234927,0,0,376,7093.35477022531,NA,0.0115191327984691,0.0561557930960447,3.06356715214222,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000900454678993416,0.00144562158845158,0.000387864625061309
"45","Pleasant",2018-08-12,224,24.25,70.55,0.78431592508442,20.1553333333333,26.8179166666667,546933.664778107,2665238.42085144,-1862.97275328031,0,2.84038073739552,0,0,1553.49984606887,0,0.0113714285714286,0.000112857142857144,0,0.0391172427234927,0,0,376,7088.40005545595,NA,0.0116050676703018,0.0565521455769555,3.0630225293358,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000907897840573066,0.00145972551423401,0.000406150704442665
"46","Pleasant",2018-08-13,225,24.8,69.8,0.778073196887921,20.28525,27.2545833333333,546683.062580469,2662389.16840524,-2849.25244619511,0,1.49791665714379,0,0,818.885665617663,0,0.0114842857142857,0.000112857142857142,0,0.0391172427234927,0,0,376,7080.82225639692,NA,0.011694696148555,0.0569540826941576,3.06247122343717,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.00091608898803345,0.0014751575935255,0.00038948376127681
"47","Pleasant",2018-08-14,226,24.15,72.15,0.771752662020126,20.5295,27.4705416666667,546509.568751335,2660416.60901941,-1972.55938583007,0,3.16827637621146,0,0,1731.49335604837,0,0.0115971428571429,0.000112857142857144,0,0.0391172427234927,0,0,376,7075.57608781759,NA,0.0117834927875034,0.0573622159914981,3.06191270119911,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000923632965711437,0.00150484852706381,0.0004078409849623
"48","Pleasant",2018-08-15,227,24.05,74,0.765354952529254,20.4738333333333,27.4940833333333,546326.436376138,2658334.46300103,-2082.14601837983,0,5.04900323289784,0,0,2758.40394348068,0,0.01171,0.000112857142857142,0,0.0391172427234927,0,0,376,7070.03846542828,NA,0.0118769820677238,0.057791438679965,3.06133206031859,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000931025647226761,0.00149768322406355,0.000428975779267222
"49","Pleasant",2018-08-16,228,23.95,85.75,0.758880708180922,20.4132916666667,27.3105416666667,546177.038912161,2656635.87019656,-1698.5928044715,0,4.31903214320791,0,0,2358.95618694374,0,0.0118228571428571,0.000112857142857144,0,0.0391172427234927,0,0,376,7065.52093137383,NA,0.0119663395297267,0.0582049492467507,3.06076596464686,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000937522565664156,0.00148996091823119,0.000419439219669051
"50","Pleasant",2018-08-17,229,23.7,82.7,0.752330576394171,20.47775,26.9985416666667,546191.496731257,2656800.2501454,164.379948840011,0,6.43531608255307,0,0,3514.91492306839,0,0.0119357142857143,0.000112857142857142,0,0.0391172427234927,0,0,376,7065.95811208883,NA,0.0120477837618716,0.0586031732529653,3.06021412111022,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000943035124603925,0.00149761915935943,0.00044400580767689
"51","Pleasant",2018-08-18,230,22.2,73.8,0.74570521217672,20.75175,26.912875,546244.508734601,2657402.97662438,602.726478975732,0,5.69935724636078,0,0,3113.24259914133,0,0.0120485714285714,0.000112857142857144,0,0.0391172427234927,0,0,376,7067.56110804356,NA,0.0121282983191532,0.0590024714927895,3.05966011936462,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000949097496693524,0.00153151093363955,0.000434655080137265
